"country_name","year","Health_expendGDP","Outpocket_expend","Education_expendGDP","Physicians","Mortality_rate","Literacy_rate","Open_defecation","managed_water","continent"
"Israel",2016,7.15261269,22.69334412,5.863269806,3.4632,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2017,7.49766827,21.97258186,6.102729797,3.4783,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2018,7.51703548,21.13713837,6.164899826,4.6249,20.3,91.272994995,1,55.75332056,"Asia"
"Jordan",2003,4.19000292,47.22499084,3.40350008,1.5829,24.7,84.71392059,0.212089624,53.72740546,"Asia"
"Jordan",2005,4.19000292,47.22499084,3.40350008,1.5829,23.3,87.0058136,0.186525569,53.65358079,"Asia"
"Jordan",2007,4.19000292,47.22499084,3.40350008,1.5829,1,88.90331268,0.148206817,57.84384275,"Asia"
"Jordan",2010,8.38929749,21.85514641,3.099999905,2.2326,20.2,89.20774078,0.144240752,64.18461344,"Asia"
"Jordan",2011,4.19000292,47.22499084,3.40350008,1.5829,19.7,93.93345642,0.134962679,66.31093505,"Asia"
"Jordan",2012,4.19000292,47.22499084,3.40350008,1.5829,19.1,97.37200928,0.126928564,68.44270744,"Asia"
"Jordan",2013,7.24769545,22.13348579,3.5,2.1947,20.3,91.272994995,1,55.75332056,"Asia"
"Jordan",2016,7.2834053,30.62340927,3.452820063,1.3954,20.3,91.272994995,1,55.75332056,"Asia"
"Jordan",2017,8.11925125,30.42742538,3.228539944,2.3237,20.3,91.272994995,1,55.75332056,"Asia"
"Jordan",2018,4.19000292,47.22499084,3.40350008,1.5829,16.1,97.83207703,0.107430174,81.37310016,"Asia"
"Kazakhstan",2000,4.16031075,48.51059723,3.25661993,3.2804,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2002,3.61480379,45.89502335,3.029700041,3.583,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2004,3.98307776,41.03981018,2.25590992,3.5907,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2005,3.90172386,34.4123497,2.263530016,3.6038,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2006,3.39824891,31.08116722,2.626780033,3.6983,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2007,2.70314837,32.7742424,2.831389904,3.6547,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2008,3.04952645,24.47266579,2.589459896,3.7161,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2009,3.49913764,22.9131546,3.060719967,3.7808,22.5,99.68428802,0.030731237,76.21740545,"Asia"
"Kazakhstan",2010,2.73641396,27.2958374,3.462260008,3.9278,20.4,99.73899078,0.030663832,77.88132362,"Asia"
"Kazakhstan",2011,2.60236669,24.59804726,3.493520021,3.9483,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2012,3.03725982,27.82034302,3.901690006,3.9108,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2013,2.66286755,25.9552784,3.437370062,3.9508,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2014,2.97468424,23.80191422,3.421649933,3.98,20.3,91.272994995,1,55.75332056,"Asia"
"Kazakhstan",2018,4.19000292,47.22499084,3.40350008,1.5829,10.3,99.73899078,1,89.30981997,"Asia"
"Kuwait",2004,2.7573216,18.42650223,5.535069942,1.5,20.3,91.272994995,1,55.75332056,"Asia"
"Kuwait",2005,2.37762237,18.18181801,4.738339901,1.8,11.4,91.04250336,1,1,"Asia"
"Kuwait",2006,2.25313878,17.16867447,3.759979963,1.4543,11.2,90.82862854,1,1,"Asia"
"Kuwait",2007,4.19000292,47.22499084,3.40350008,1.5829,11.1,91.50348663,1,1,"Asia"
"Kuwait",2008,4.19000292,47.22499084,3.40350008,1.5829,10.9,91.77864838,1,1,"Asia"
